date,in,out,clus
2023/1/1,0,0,clus
2023/1/2,6561810178.271044,7426071459.614874,clus
2023/1/3,5197316968.3940735,4312037280.884873,clus
2023/1/4,4116167224.336399,5732352291.5498705,clus
2023/1/5,5416145155.592092,4041168988.591605,clus
2023/1/6,5664885281.600843,4424678221.356552,clus
2023/1/7,0,0,clus
2023/1/8,0,0,clus
2023/1/9,4366809019.706867,4608484485.919075,clus
2023/1/10,4863890037.284231,4582458280.396084,clus
2023/1/11,4278987721.304084,4584289297.0704365,clus
2023/1/12,4912139968.434072,5570351922.786028,clus
2023/1/13,5028468876.827224,5184829137.724085,clus
2023/1/14,0,0,clus
2023/1/15,0,0,clus
2023/1/16,4018862129.753596,2926310309.2182283,clus
2023/1/17,4872213843.133333,4914080082.6863985,clus
2023/1/18,4609227538.346742,4195344228.012768,clus
2023/1/19,4880304987.479202,4244076469.6895576,clus
2023/1/20,6742765365.166905,6051582781.672828,clus
2023/1/21,0,0,clus
2023/1/22,0,0,clus
2023/1/23,7363980603.118174,6388169972.400025,clus
2023/1/24,6993783426.5309725,6467566614.134116,clus
2023/1/25,6780102031.766716,6820065419.014919,clus
2023/1/26,5939169255.529118,5550265646.722229,clus
2023/1/27,5789654700.855298,5195799957.62217,clus
2023/1/28,0,0,clus
2023/1/29,0,0,clus
2023/1/30,4176985004.1038394,4391965724.83829,clus
2023/1/31,3313325826.908161,3471693224.2237053,clus
2023/2/1,5657475018.303859,4713506653.387178,clus
2023/2/2,5085392166.316497,4281848449.949526,clus
2023/2/3,4149101287.359542,5973773873.201034,clus
2023/2/4,0,0,clus
2023/2/5,0,0,clus
2023/2/6,4397431363.068345,4011044234.2472053,clus
2023/2/7,5413714687.695234,5458014336.081974,clus
2023/2/8,4148089303.468181,4716931457.088545,clus
2023/2/9,5726206851.751186,5246596253.655116,clus
2023/2/10,4127116700.5720477,4621964643.431324,clus
2023/2/11,0,0,clus
2023/2/12,0,0,clus
2023/2/13,5459212356.676128,5275114942.710426,clus
2023/2/14,4944429850.323898,4239188491.8766036,clus
2023/2/15,5521570097.233794,5122554395.138993,clus
2023/2/16,4987591192.728782,5045465658.763988,clus
2023/2/17,4050838253.48819,4215782853.9866095,clus
2023/2/18,0,0,clus
2023/2/19,0,0,clus
2023/2/20,4091026028.1594515,3285889952.690817,clus
2023/2/21,5815132947.852186,4498584458.29775,clus
2023/2/22,5511102277.086098,4457596330.983245,clus
2023/2/23,3224378632.2844205,2903053218.135011,clus
2023/2/24,5616240759.128835,5266807513.020847,clus
2023/2/25,0,0,clus
2023/2/26,0,0,clus
2023/2/27,5607344153.798228,4373140117.772072,clus
2023/2/28,5078684483.831302,5614880310.328125,clus
2023/3/1,4636006949.9437275,4220103849.0553536,clus
2023/3/2,4854215577.252513,5636029531.844986,clus
2023/3/3,4013904261.0623817,5021494605.155131,clus
2023/3/4,0,0,clus
2023/3/5,0,0,clus
2023/3/6,4444215620.941461,4239730734.6673656,clus
2023/3/7,5885819407.825038,4646405864.041511,clus
2023/3/8,5406037917.790356,4727259204.758588,clus
2023/3/9,5924894589.884222,4503564591.650728,clus
2023/3/10,4601756619.633539,4569680988.754935,clus
2023/3/11,0,0,clus
2023/3/12,0,0,clus
2023/3/13,4023910834.9497423,3756697558.072154,clus
2023/3/14,3196616160.591529,4770664714.916635,clus
2023/3/15,4289789744.182446,4978905520.555126,clus
2023/3/16,4484110543.023001,5344271094.811757,clus
2023/3/17,4475275087.984799,5456432697.223719,clus
2023/3/18,0,0,clus
2023/3/19,0,0,clus
2023/3/20,5264611661.187159,5267059421.52179,clus
2023/3/21,4180579540.108817,5670604991.178476,clus
2023/3/22,4373037020.799708,4081550283.109528,clus
2023/3/23,5355128723.684565,4033175657.8557124,clus
2023/3/24,4452991550.395876,5290345580.818899,clus
2023/3/25,0,0,clus
2023/3/26,0,0,clus
2023/3/27,5381875476.204931,4773470692.601075,clus
2023/3/28,4275041888.2919865,4682132702.100517,clus
2023/3/29,5849387236.557125,5754678706.761962,clus
2023/3/30,5319968092.068357,5634444400.4024315,clus
2023/3/31,5059301156.712012,4483704581.800903,clus
2023/4/1,0,0,clus
2023/4/2,0,0,clus
2023/4/3,4743039394.883317,4751045142.908326,clus
2023/4/4,4678059582.097402,4698419149.225322,clus
2023/4/5,5794220519.905154,5774172848.530234,clus
2023/4/6,5284063292.308575,4168279929.990098,clus
2023/4/7,5797108377.054159,5212858119.31918,clus
2023/4/8,0,0,clus
2023/4/9,0,0,clus
2023/4/10,2753678857.1650805,4158754422.7701397,clus
2023/4/11,2902020128.5437465,3871834473.4164658,clus
2023/4/12,5303922519.0052,4448538618.92112,clus
2023/4/13,4474498174.9936,4650799396.318536,clus
2023/4/14,5299265798.094429,5698446820.988356,clus
2023/4/15,0,0,clus
2023/4/16,0,0,clus
2023/4/17,5136617206.670943,4187349535.656185,clus
2023/4/18,4530404735.363451,4487979286.758167,clus
2023/4/19,4786195449.333521,5784093110.354227,clus
2023/4/20,5589622607.083297,5005274186.210384,clus
2023/4/21,4985035387.637728,4390485975.596089,clus
2023/4/22,0,0,clus
2023/4/23,0,0,clus
2023/4/24,4561544724.881711,4048631932.862908,clus
2023/4/25,4354221358.814098,5880917168.705828,clus
2023/4/26,5829728780.440897,4740317400.510889,clus
2023/4/27,4820796406.469314,3570460370.793286,clus
2023/4/28,7449982228.565504,7445429965.63388,clus
2023/4/29,0,0,clus
2023/4/30,0,0,clus
2023/5/1,4588897784.139172,4770195457.203851,clus
2023/5/2,7276705007.275286,6475383007.734417,clus
2023/5/3,5113602524.9167,5872309548.321562,clus
2023/5/4,5140122340.17873,4194352987.5415373,clus
2023/5/5,5980107700.208526,4280168030.473048,clus
2023/5/6,0,0,clus
2023/5/7,0,0,clus
2023/5/8,5754746143.855911,5481537235.5084095,clus
2023/5/9,5404968167.974217,4718982302.43951,clus
2023/5/10,5618722310.957027,5620226789.358361,clus
2023/5/11,5826481105.112943,5022684797.721876,clus
2023/5/12,5596590357.933551,5299927861.555531,clus
2023/5/13,0,0,clus
2023/5/14,0,0,clus
2023/5/15,5591585338.872203,5780010683.635133,clus
2023/5/16,4751165905.279888,4187963879.681738,clus
2023/5/17,4071884547.5934844,4931196036.26492,clus
2023/5/18,4573082504.256569,5181666521.138022,clus
2023/5/19,2593370471.873036,4556501401.649146,clus
2023/5/20,0,0,clus
2023/5/21,0,0,clus
